Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
1406,Text,1998-08-01,The Perils of Certain English Prisoners,en,"Dickens, Charles, 1812-1870",English fiction -- 19th century,PR,Browsing: History - British; Browsing: Literature; Browsing: Fiction
1407,Text,1998-08-01,A Message from the Sea,en,"Dickens, Charles, 1812-1870",Sea stories; English fiction -- 19th century,PR,Browsing: Literature; Browsing: Fiction
1408,Text,1998-08-01,The Natural History of Selborne,en,"White, Gilbert, 1720-1793",Natural history -- England -- Selborne -- Early works to 1800; Selborne (England) -- Description and travel -- Early works to 1800; Selborne (England) -- Antiquities -- Early works to 1800,DA; QH,Browsing: History - General; Browsing: Science - General; Browsing: Travel & Geography
1409,Text,1998-08-01,The Soul of the Far East,en,"Lowell, Percival, 1855-1916",East Asia,DS,Browsing: Culture/Civilization/Society; Browsing: History - General
1410,Text,2004-07-02,The Commission in Lunacy,en,"Balzac, Honoré de, 1799-1850; Bell, Clara, 1834-1927 [Translator]",Biographical fiction; French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1411,Text,2004-08-02,Domestic Peace,en,"Balzac, Honoré de, 1799-1850; Bell, Clara, 1834-1927 [Translator]; Marriage, Ellen, 1865-1946 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1412,Text,1998-08-01,Masterman Ready,en,"Marryat, Frederick, 1792-1848",Islands -- Fiction; Sea stories; Survival -- Fiction; Adventure stories; Shipwrecks -- Fiction,PR; PZ,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
1413,Text,1998-08-01,Tom Tiddler's Ground,en,"Dickens, Charles, 1812-1870",English fiction,PR,Browsing: Literature; Browsing: Fiction
1414,Text,1998-08-01,Somebody's Luggage,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1415,Text,1998-08-01,Doctor Marigold,en,"Dickens, Charles, 1812-1870","Christmas stories; Short stories, English; Adoptive parents -- Fiction; Deaf children -- Fiction",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1416,Text,1998-08-01,Mrs. Lirriper's Lodgings,en,"Dickens, Charles, 1812-1870","Widows -- Fiction; Great Britain -- History -- Victoria, 1837-1901 -- Fiction; Boardinghouses -- Fiction",PR,Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Fiction
1417,Text,2005-10-04,Sons of the Soil,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1418,Text,1998-08-01,Country Sentiment,en,"Graves, Robert, 1895-1985",Pastoral poetry,PR,Browsing: Literature; Browsing: Poetry
1419,Text,1998-08-01,Mugby Junction,en,"Dickens, Charles, 1812-1870",Psychological fiction; Railroad stations -- England -- London -- Fiction,PR,Browsing: Literature; Browsing: Psychiatry/Psychology; Browsing: Fiction
1420,Text,1998-08-01,London's Underworld,en,"Holmes, Thomas, 1846-1918",Crime -- England -- London; Poor -- England -- London; London (England) -- Social conditions,HV,Browsing: Culture/Civilization/Society; Browsing: Crime/Mystery; Browsing: Sociology
1421,Text,1998-08-01,Mrs. Lirriper's Legacy,en,"Dickens, Charles, 1812-1870","Widows -- Fiction; Great Britain -- History -- Victoria, 1837-1901 -- Fiction; Boardinghouses -- Fiction",PR,Browsing: History - British; Browsing: Literature; Browsing: Fiction
1422,Text,1998-08-01,Going into Society,en,"Dickens, Charles, 1812-1870",Fiction,PR,Browsing: Literature; Browsing: Fiction
1423,Text,1998-08-01,No Thoroughfare,en,"Dickens, Charles, 1812-1870; Collins, Wilkie, 1824-1889",England -- Social life and customs -- 19th century -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1424,Text,2006-02-19,Castle Rackrent,en,"Edgeworth, Maria, 1768-1849; Ritchie, Anne Thackeray, 1837-1919 [Author of introduction, etc.]",Domestic fiction; Landlord and tenant -- Fiction; Poor families -- Fiction; Pastoral fiction; Ireland -- Social life and customs -- Fiction; Ireland -- Fiction; Landowners -- Fiction; Rich people -- Fiction; Rural conditions -- Fiction; Administration of estates -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1425,Text,2005-11-02,El Verdugo,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1426,Text,2005-07-13,The Recruit,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1427,Text,1998-08-01,A Drama on the Seashore,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
